DATES,AXSB=Z0 IS EQUITY
2020-10-27,510.75
2020-10-28,508.1
2020-10-29,496.9
2020-10-30,494.65
2020-11-02,525.05
2020-11-03,536.15
2020-11-04,526.7
2020-11-05,541.6
2020-11-06,544.1
2020-11-09,569.6
2020-11-10,587.85
2020-11-11,610.95
2020-11-12,602.05
2020-11-13,612.5
2020-11-14,614.15
2020-11-17,631.25
2020-11-18,639.05
2020-11-19,615.45
2020-11-20,610.95
2020-11-23,598.65
2020-11-24,623.15
2020-11-25,602.95
2020-11-26,616.05
2020-11-27,605.15
2020-12-01,607.25
2020-12-02,611.5
2020-12-03,606.45
2020-12-04,618.45
2020-12-07,621.15
2020-12-08,622.05
2020-12-09,636.75
2020-12-10,629.55
2020-12-11,614.55
2020-12-14,619.0
2020-12-15,609.3
2020-12-16,608.6
2020-12-17,606.6
2020-12-18,610.3
