DATES,BJAUT=Z0 IS EQUITY
2020-10-27,2970.0
2020-10-28,2950.05
2020-10-29,2938.0
2020-10-30,2894.5
2020-11-02,2860.75
2020-11-03,2922.35
2020-11-04,2937.15
2020-11-05,2974.1
2020-11-06,2988.4
2020-11-09,3014.25
2020-11-10,3018.65
2020-11-11,3044.9
2020-11-12,3038.2
2020-11-13,3063.75
2020-11-14,3051.95
2020-11-17,3060.0
2020-11-18,3053.4
2020-11-19,3045.2
2020-11-20,3067.25
2020-11-23,3089.2
2020-11-24,3103.0
2020-11-25,3065.9
2020-11-26,3145.55
2020-11-27,3190.85
2020-12-01,3250.8
2020-12-02,3344.3
2020-12-03,3315.35
2020-12-04,3330.8
2020-12-07,3336.4
2020-12-08,3336.05
2020-12-09,3324.85
2020-12-10,3308.3
2020-12-11,3331.55
2020-12-14,3293.0
2020-12-15,3281.4
2020-12-16,3318.15
2020-12-17,3284.2
2020-12-18,3340.1
