DATES,COAL=Z0 IS EQUITY
2020-10-27,114.0
2020-10-28,112.75
2020-10-29,111.25
2020-10-30,114.05
2020-11-02,115.75
2020-11-03,116.3
2020-11-04,115.0
2020-11-05,119.7
2020-11-06,120.85
2020-11-09,121.35
2020-11-10,124.55
2020-11-11,125.6
2020-11-12,122.85
2020-11-13,126.55
2020-11-14,127.4
2020-11-17,129.1
2020-11-18,128.6
2020-11-19,122.8
2020-11-20,121.9
2020-11-23,123.4
2020-11-24,123.95
2020-11-25,124.65
2020-11-26,125.85
2020-11-27,126.2
2020-12-01,127.05
2020-12-02,130.35
2020-12-03,134.3
2020-12-04,133.95
2020-12-07,137.35
2020-12-08,134.7
2020-12-09,135.5
2020-12-10,135.65
2020-12-11,138.9
2020-12-14,143.95
2020-12-15,143.65
2020-12-16,145.7
2020-12-17,143.75
2020-12-18,142.25
