DATES,DRRD=Z0 IS EQUITY
2020-10-27,5126.2
2020-10-28,4977.05
2020-10-29,4963.15
2020-10-30,4915.55
2020-11-02,4893.1
2020-11-03,4916.1
2020-11-04,4966.5
2020-11-05,4996.2
2020-11-06,4937.55
2020-11-09,4914.6
2020-11-10,4735.8
2020-11-11,4914.25
2020-11-12,4860.45
2020-11-13,4892.65
2020-11-14,4898.75
2020-11-17,4813.2
2020-11-18,4736.15
2020-11-19,4736.15
2020-11-20,4699.5
2020-11-23,4842.0
2020-11-24,4935.15
2020-11-25,4827.9
2020-11-26,4918.35
2020-11-27,4858.15
2020-12-01,4859.4
2020-12-02,4876.4
2020-12-03,4953.5
2020-12-04,4938.0
2020-12-07,5050.0
2020-12-08,5027.2
2020-12-09,5068.7
2020-12-10,5071.0
2020-12-11,5027.35
2020-12-14,5032.45
2020-12-15,5039.05
2020-12-16,5058.25
2020-12-17,5092.7
2020-12-18,5172.25
