DATES,GAIL=Z0 IS EQUITY
2020-10-27,84.85
2020-10-28,83.65
2020-10-29,84.0
2020-10-30,84.7
2020-11-02,84.15
2020-11-03,84.4
2020-11-04,83.8
2020-11-05,87.8
2020-11-06,86.35
2020-11-09,87.0
2020-11-10,90.85
2020-11-11,93.4
2020-11-12,93.55
2020-11-13,93.45
2020-11-14,94.0
2020-11-17,93.8
2020-11-18,94.4
2020-11-19,94.05
2020-11-20,97.7
2020-11-23,101.05
2020-11-24,100.65
2020-11-25,102.25
2020-11-26,103.15
2020-11-27,102.95
2020-12-01,110.9
2020-12-02,115.75
2020-12-03,117.75
2020-12-04,119.65
2020-12-07,122.25
2020-12-08,121.7
2020-12-09,122.8
2020-12-10,120.65
2020-12-11,126.45
2020-12-14,126.1
2020-12-15,125.9
2020-12-16,124.95
2020-12-17,124.45
2020-12-18,124.95
