DATES,KMB IS 12/31/20 C1880 EQUITY
2020-11-04,37.45
2020-11-05,48.55
2020-11-06,61.0
2020-11-09,61.05
2020-11-10,68.75
2020-11-11,90.4
2020-11-12,67.3
2020-11-13,69.15
2020-11-14,70.5
2020-11-17,77.2
2020-11-18,90.95
2020-11-19,58.15
2020-11-20,87.05
2020-11-23,89.4
2020-11-24,95.75
2020-11-25,71.85
2020-11-26,77.2
2020-11-27,75.45
2020-12-01,65.45
2020-12-02,44.35
2020-12-03,39.25
2020-12-04,48.8
2020-12-07,39.5
2020-12-08,40.25
2020-12-09,59.55
2020-12-10,66.55
2020-12-11,72.05
2020-12-14,83.25
2020-12-15,88.3
2020-12-16,87.5
2020-12-17,96.5
2020-12-18,87.6
