DATES,KMB=Z0 IS EQUITY
2020-10-27,1575.3
2020-10-28,1544.2
2020-10-29,1562.15
2020-10-30,1539.2
2020-11-02,1573.7
2020-11-03,1586.5
2020-11-04,1620.75
2020-11-05,1664.55
2020-11-06,1705.6
2020-11-09,1716.15
2020-11-10,1747.1
2020-11-11,1791.45
2020-11-12,1751.85
2020-11-13,1758.1
2020-11-14,1765.0
2020-11-17,1786.85
2020-11-18,1819.6
2020-11-19,1810.2
2020-11-20,1874.7
2020-11-23,1875.65
2020-11-24,1901.65
2020-11-25,1856.75
2020-11-26,1886.25
2020-11-27,1885.5
2020-12-01,1865.05
2020-12-02,1816.3
2020-12-03,1817.8
2020-12-04,1850.5
2020-12-07,1824.25
2020-12-08,1834.7
2020-12-09,1883.8
2020-12-10,1902.35
2020-12-11,1913.9
2020-12-14,1933.3
2020-12-15,1946.4
2020-12-16,1951.0
2020-12-17,1963.55
2020-12-18,1952.65
