DATES,NIFTY INDEX
2020-10-27,11889.4
2020-10-28,11729.6
2020-10-29,11670.8
2020-10-30,11642.4
2020-11-02,11669.15
2020-11-03,11813.5
2020-11-04,11908.5
2020-11-05,12120.3
2020-11-06,12263.55
2020-11-09,12461.05
2020-11-10,12631.1
2020-11-11,12749.15
2020-11-12,12690.8
2020-11-13,12719.95
2020-11-14,12780.25
2020-11-17,12874.2
2020-11-18,12938.25
2020-11-19,12771.7
2020-11-20,12859.05
2020-11-23,12926.45
2020-11-24,13055.15
2020-11-25,12858.4
2020-11-26,12987.0
2020-11-27,12968.95
2020-12-01,13109.05
2020-12-02,13113.75
2020-12-03,13133.9
2020-12-04,13258.55
2020-12-07,13355.75
2020-12-08,13392.95
2020-12-09,13529.1
2020-12-10,13478.3
2020-12-11,13513.85
2020-12-14,13558.15
2020-12-15,13567.85
2020-12-16,13682.7
2020-12-17,13740.7
2020-12-18,13753.45
