DATES,NMDC=Z0 IS EQUITY
2020-10-27,83.25
2020-10-28,81.55
2020-10-29,81.2
2020-10-30,82.3
2020-11-02,83.8
2020-11-03,85.2
2020-11-04,85.05
2020-11-05,90.25
2020-11-06,90.25
2020-11-09,92.9
2020-11-10,93.7
2020-11-11,90.4
2020-11-12,90.85
2020-11-13,92.45
2020-11-14,93.55
2020-11-17,95.9
2020-11-18,97.3
2020-11-19,96.15
2020-11-20,93.85
2020-11-23,94.0
2020-11-24,93.9
2020-11-25,93.65
2020-11-26,96.9
2020-11-27,97.0
2020-12-01,99.6
2020-12-02,103.9
2020-12-03,106.4
2020-12-04,107.25
2020-12-07,109.9
2020-12-08,108.45
2020-12-09,107.65
2020-12-10,108.4
2020-12-11,111.4
2020-12-14,116.6
2020-12-15,115.5
2020-12-16,115.2
2020-12-17,116.0
2020-12-18,116.0
