DATES,PIDI=Z0 IS EQUITY
2020-10-27,1537.6
2020-10-28,1529.95
2020-10-29,1598.0
2020-10-30,1578.8
2020-11-02,1568.95
2020-11-03,1568.0
2020-11-04,1577.0
2020-11-05,1597.6
2020-11-06,1607.15
2020-11-09,1605.75
2020-11-10,1586.85
2020-11-11,1574.85
2020-11-12,1581.65
2020-11-13,1576.15
2020-11-14,1589.65
2020-11-17,1570.2
2020-11-18,1570.9
2020-11-19,1565.55
2020-11-20,1568.5
2020-11-23,1590.1
2020-11-24,1589.85
2020-11-25,1552.4
2020-11-26,1543.95
2020-11-27,1543.7
2020-12-01,1556.8
2020-12-02,1604.7
2020-12-03,1621.15
2020-12-04,1616.2
2020-12-07,1623.85
2020-12-08,1620.05
2020-12-09,1629.15
2020-12-10,1660.0
2020-12-11,1643.65
2020-12-14,1635.6
2020-12-15,1627.9
2020-12-16,1633.8
2020-12-17,1635.6
2020-12-18,1724.75
