DATES,SUNP=Z0 IS EQUITY
2020-10-27,474.5
2020-10-28,467.0
2020-10-29,459.75
2020-10-30,467.8
2020-11-02,471.45
2020-11-03,489.15
2020-11-04,507.15
2020-11-05,514.95
2020-11-06,511.25
2020-11-09,513.9
2020-11-10,494.9
2020-11-11,509.2
2020-11-12,513.35
2020-11-13,512.25
2020-11-14,517.8
2020-11-17,520.55
2020-11-18,516.05
2020-11-19,510.9
2020-11-20,506.1
2020-11-23,515.1
2020-11-24,522.65
2020-11-25,508.2
2020-11-26,513.6
2020-11-27,514.75
2020-12-01,541.7
2020-12-02,545.85
2020-12-03,550.75
2020-12-04,570.6
2020-12-07,583.15
2020-12-08,570.15
2020-12-09,572.85
2020-12-10,568.4
2020-12-11,568.8
2020-12-14,576.95
2020-12-15,573.15
2020-12-16,577.3
2020-12-17,573.55
2020-12-18,576.3
