DATES,TATA=Z0 IS EQUITY
2020-10-27,413.45
2020-10-28,404.75
2020-10-29,405.2
2020-10-30,411.4
2020-11-02,405.75
2020-11-03,409.6
2020-11-04,407.0
2020-11-05,428.85
2020-11-06,428.5
2020-11-09,440.95
2020-11-10,444.8
2020-11-11,476.55
2020-11-12,475.4
2020-11-13,489.0
2020-11-14,494.0
2020-11-17,526.25
2020-11-18,523.25
2020-11-19,524.55
2020-11-20,535.75
2020-11-23,545.1
2020-11-24,550.7
2020-11-25,544.45
2020-11-26,571.65
2020-11-27,578.8
2020-12-01,587.1
2020-12-02,606.2
2020-12-03,623.3
2020-12-04,626.4
2020-12-07,618.05
2020-12-08,616.45
2020-12-09,612.15
2020-12-10,613.85
2020-12-11,624.05
2020-12-14,629.1
2020-12-15,636.9
2020-12-16,644.9
2020-12-17,636.95
2020-12-18,638.15
