DATES,Z=Z0 IS EQUITY
2020-10-27,188.6
2020-10-28,182.8
2020-10-29,180.45
2020-10-30,188.8
2020-11-02,184.1
2020-11-03,183.5
2020-11-04,183.35
2020-11-05,192.15
2020-11-06,194.5
2020-11-09,192.15
2020-11-10,194.0
2020-11-11,196.35
2020-11-12,199.9
2020-11-13,194.15
2020-11-14,194.6
2020-11-17,191.0
2020-11-18,191.8
2020-11-19,187.55
2020-11-20,186.6
2020-11-23,188.15
2020-11-24,189.25
2020-11-25,189.55
2020-11-26,190.6
2020-11-27,193.8
2020-12-01,196.2
2020-12-02,198.25
2020-12-03,205.35
2020-12-04,207.85
2020-12-07,216.7
2020-12-08,213.45
2020-12-09,216.75
2020-12-10,213.55
2020-12-11,212.95
2020-12-14,216.65
2020-12-15,232.65
2020-12-16,232.35
2020-12-17,226.25
2020-12-18,226.6
